"associatedReferences","basisOfRecord","bibliographicCitation","catalogNumber","collectionCode","coordinatePrecision","decimalLatitude","decimalLongitude","identifiedBy","institutionCode","locality","maximumDepthInMeters","minimumDepthInMeters","occurrenceRemarks","scientificName","scientificNameAuthorship","scientificNameID","verbatimDepth","waterBody","id","dataset_id","node_id","depth","dropped","absence","marine","brackish","superdomain","kingdom","phylum","class","subclass","order","superfamily","family","genus","species","superdomainid","kingdomid","phylumid","classid","subclassid","orderid","superfamilyid","familyid","genusid","speciesid","aphiaID","originalScientificName","flags","bathymetry","shoredistance","sst","sss","day","dynamicProperties","eventDate","individualCount","month","preparations","year","date_start","date_mid","date_end","date_year","occurrenceID","occurrenceStatus","ownerInstitutionCode","references","collectionID","coordinateUncertaintyInMeters","footprintWKT","typeStatus","continent","country","datasetID","fieldNumber","modified","specificEpithet","datasetName","lifeStage","locationID","otherCatalogNumbers","sex","recordedBy","stateProvince"
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_G1","B89PII","260010.0",27.3733863831,-97.3691329956,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","WNW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","02640991-09df-4ffd-ab29-c16def885ee7","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","DEPTH_EXCEEDS_BATH,ON_LAND",2,-4875,24.07,34.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","709480.450467","Invertebrate Zoology: Mollusks",NA,6.16699981689,-125.983001709,NA,"USNM",NA,204,204,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"North Pacific Ocean","0379d505-4c13-4c2e-9898-8e3f4eaafeed","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",204,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,4283,1820539,27.41,34.56,"26","observedindividualcount=1;","1967-02-26T12:00:00Z","1.0","2","Alcohol (Ethanol)","1967",-8.9856e+10,-8.9856e+10,-8.9856e+10,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HumanObservation",NA,"105475",NA,NA,-19.678333,63.420277,NA,"CMLRE","Rodrigues Island",NA,NA,NA,"Firoloida desmarestia",NA,"urn:lsid:marinespecies.org:taxname:139943",NA,NA,"09836f23-780a-4039-819b-ca2976e514c8","767e6320-6d7f-449e-ace5-d586c3c17c9c","1a3b0f1a-4474-4d73-9ee1-d28f92a83996",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti","NO_DEPTH",-3,184,25.72,34.98,NA,NA,"1817",NA,NA,NA,NA,-4828204800000,-4.81248e+12,-4796755200000,1817,"36546","present","NIO","This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_E1","B89PII","542540.0",18.211057663,-94.1317977905,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","SSW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","0cc17664-f333-41a0-828e-09fe5cdaed8f","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","DEPTH_EXCEEDS_BATH,ON_LAND",-7,-240,26.97,34.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","848010.513176","Invertebrate Zoology: Mollusks",NA,15.9983301163,-101.150001526,NA,"USNM",NA,NA,NA,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"North Pacific Ocean","0d156cca-67bf-4e19-a58e-fe78ba7f7c68","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","NO_DEPTH",3630,136382,29.1,33.65,NA,"observedindividualcount=1;",NA,"1.0",NA,"Formalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sameer Sarfraj Terdalkar.2000.Studies on the role of physico-chemical factors on microfauna with special reference to zooplankton in Bay of Bengal and in and around Andaman Sea.PhD thesis,Goa University,India","HumanObservation",NA,NA,NA,NA,9.1103,83.7404,NA,"CMLRE",NA,NA,NA,NA,"Firoloida desmarestia",NA,"urn:lsid:marinespecies.org:taxname:139943",NA,"Bay of Bengal, Andaman Sea & Central Indian Ocean","0ebc7889-eeef-4ae0-8792-324dec0c178e","a4257cff-3c2c-4a60-ab29-91f65545bb08","1a3b0f1a-4474-4d73-9ee1-d28f92a83996",NA,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti","NO_DEPTH",3722,270462,28.96,33.69,NA,NA,"1961/1965",NA,NA,NA,NA,-283996800000,-2.052e+11,-126316800000,1963,"95612","present",NA,NA,"IndOBIS Dataset","1429063","POLYGON ((74.09180 0.57128, 81.38672 -2.72358, 95.97656 12.12526, 87.36328 20.92040, 80.33203 14.26438, 74.09180 0.57128))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_H2","B89PII","277700.0",29.0193500519,-92.6140518188,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","NNW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","106a8021-7d79-4189-ab8f-6535bc8a4893","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","DEPTH_EXCEEDS_BATH",25,61797,24.1,32.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HumanObservation",NA,"105475","INDOBIS-DATASET1",NA,-19.6783332825,63.4202766418,NA,"NCL","Rodrigues Island",NA,NA,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"13dc807f-12ff-4cc8-b655-2a9ff083c4fd","d0d2a510-ba24-487b-80ca-afc86922cb1c","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti","NO_DEPTH",-3,184,25.72,34.98,NA,NA,"1817-07-02T12:00:00Z",NA,NA,NA,NA,-4.81248e+12,-4.81248e+12,-4.81248e+12,1817,NA,NA,NA,NA,NA,NA,NA,"Accepted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11460","Zooplankton of Lebanon",NA,33.983333333,35.483333333,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"1b8951c2-86f1-477f-9dc9-e30c9bf3baf6","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,766.4,8642,23.01,39.05,NA,NA,"1968-07/1972-10",NA,NA,NA,NA,-47433600000,20908800000,89337600000,1970,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11460","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","C2","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11457","Zooplankton of Lebanon",NA,33.933333333,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"1d6531aa-323b-47ca-8c48-579d032d0022","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,191,2879,23.02,39.06,NA,NA,"1970-07/1972-10",NA,NA,NA,NA,15638400000,52444800000,89337600000,1971,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11457","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","H2","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","848009.513174","Invertebrate Zoology: Mollusks",NA,-1.85000002384,-92.0500030518,NA,"USNM",NA,NA,NA,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"South Pacific Ocean","2186bfe4-99f3-42c6-bc26-ada284aabac6","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","NO_DEPTH",3299,116219,23.21,34.55,NA,"observedindividualcount=1;",NA,"1.0",NA,"Formalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11453","Zooplankton of Lebanon",NA,33.95,35.466666667,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"224add0e-e337-4db3-9841-708715f1c901","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,535.4,5323,23.01,39.05,NA,NA,"1965-07/1967-10",NA,NA,NA,NA,-1.42128e+11,-105321600000,-68515200000,1966,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11453","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","A1","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"PreservedSpecimen",NA,"333026","Malakologie - SMF",NA,35.842,22.3318333333,"A. W. Janssen","SMF",NA,4764,4764,NA,"Firoloida desmarestia",NA,"urn:lsid:marinespecies.org:taxname:139943",NA,NA,"25cba54d-1656-441f-8df1-caa597ca5f0d","97bdf279-6f78-4ed7-ad9d-27a5886f8ff2","4bf79a01-65a9-4db6-b37b-18434f26ddfc",4764,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida demarestia",NA,4789.6,61920,20.85,38.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:SMF:Malakologie - SMF:333026:0x850E350101000100","present",NA,"http://sesam.senckenberg.de/page/index.asp?objekt_id=273953&sprache_kurz=en",NA,NA,NA,NA,NA,"Mediterranean Region","https://marineinfo.org/id/dataset/961",NA,"2009-03-19 11:49:00","demarestia",NA,NA,NA,NA,NA,NA,NA
NA,"PreservedSpecimen",NA,"KREPS.193","urn:catalog:RBINS:mol",NA,43.03715,9.81834,"Kreps Jean Paul","RBINS-Scientific Heritage","Capraia",200,200,NA,"Firoloida desmarestia","Lesueur, 1817","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"25eea20e-365f-4728-b710-ab5d5ad790dc","f68aab55-9261-49fa-8bf9-e6fe6fa7661b","4bf79a01-65a9-4db6-b37b-18434f26ddfc",200,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia Lesueur, 1817","DEPTH_EXCEEDS_BATH,ON_LAND",-181,-1394,19,38.03,NA,NA,"1800-01-01/2006-10-16",NA,NA,"container type: minigrip; preservation method: dry",NA,-5364662400000,-2101852800000,1160956800000,1903,"http://collections.naturalsciences.be/specimen/547084","present",NA,NA,NA,"999999.0",NA,"specimen","Ligurian Sea","Italy","be_rbins_invertebrates_mollusca","30736","2012-04-23 09:59:04","desmarestia","Royal Belgian Institute of Natural Sciences Mollusca collection","unknown","http://www.geonames.org/3180648","urn:catalog:RBINS:IG:30736","unknown",NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","709493.450480","Invertebrate Zoology: Mollusks",NA,-7.69999980927,-118.967002869,NA,"USNM",NA,201,201,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"South Pacific Ocean","26e0e5cd-0d5e-4ef6-9dcd-6cad45ac3837","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",201,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,4352,1985755,26.07,35.26,"10","observedindividualcount=1;","1967-02-10T12:00:00Z","1.0","2","Formalin","1967",-91238400000,-91238400000,-91238400000,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","848003.513168","Invertebrate Zoology: Mollusks",NA,-12.3170003891,-92.0329971313,NA,"USNM",NA,NA,NA,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"South Pacific Ocean","382c7056-734f-4263-ab10-2a3616b660c8","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","NO_DEPTH",3930,1230732,22.97,35.52,NA,"observedindividualcount=1;",NA,"1.0",NA,"Formalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11477","Zooplankton of Lebanon",NA,34.2,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"3cef018d-6a4c-41d2-ae22-0d308191a3c3","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,1353,12127,22.98,39.08,NA,NA,"1973-06/1982-12",NA,NA,NA,NA,107740800000,258940800000,410140800000,1978,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11477","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","By1","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11459","Zooplankton of Lebanon",NA,33.983333333,35.483333333,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"3d19d994-3552-4e46-a569-bc0bf00cda0c","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,766.4,8642,23.01,39.05,NA,NA,"1968-07/1972-10",NA,NA,NA,NA,-47433600000,20908800000,89337600000,1970,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11459","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","C1","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11479","Zooplankton of Lebanon",NA,34.2,35.433333333,NA,"Lebanon University",NA,200,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"3dd8bbf0-22d0-43d7-869d-e534400bcbee","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",100,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,1771,18247,22.95,39.08,NA,NA,"1973-06/1982-12",NA,NA,NA,NA,107740800000,258940800000,410140800000,1978,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11479","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","By3","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11478","Zooplankton of Lebanon",NA,34.2,35.433333333,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"49a92d3d-8da2-4dcc-8e75-15006828cd4b","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,1771,18247,22.95,39.08,NA,NA,"1973-06/1982-12",NA,NA,NA,NA,107740800000,258940800000,410140800000,1978,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11478","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","By2","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
